Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1545.869373831775
FDW14,OUT017,1251.5701536082472
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.89088
FDH56,OUT046,1796.0488656488549
FDL48,OUT018,711.0628208695656
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1879.2570116129027
FDA36,OUT017,2752.9709346534646
FDT44,OUT017,1796.0488656488549
FDQ56,OUT045,1296.384578378378
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2041.521139285714
DRL59,OUT013,711.0628208695656
FDM24,OUT049,2286.4132673684207
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2778.589317525773
NCJ31,OUT035,3737.29577518248
FDG52,OUT046,796.6660672268905
NCL19,OUT019,281.4820818181816
FDS10,OUT035,3384.1080642424236
FDX22,OUT010,584.7577647727275
NCF19,OUT035,796.6660672268905
NCE06,OUT046,2503.501336448599
DRC27,OUT046,3643.5197259842525
FDE21,OUT035,2042.4213960000006
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.0464036697247
FDU31,OUT027,5329.3147244444435
FDU59,OUT017,2503.501336448599
FDR03,OUT027,5329.3147244444435
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.4820818181816
NCF18,OUT017,2939.348476190475
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181816
NCY54,OUT017,2778.589317525773
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1663.1001128205125
FDR14,OUT010,165.91858165137623
NCS41,OUT035,3384.1080642424236
FDF41,OUT035,3737.29577518248
FDU34,OUT046,2041.521139285714
DRH11,OUT046,935.0323883040944
FDM03,OUT013,1461.843796
FDS31,OUT017,3384.1080642424236
FDJ20,OUT017,2137.2403798319324
FDV44,OUT027,5329.3147244444435
FDG02,OUT049,2752.9709346534646
FDA09,OUT013,3259.5620849056613
FDT04,OUT013,507.0464036697247
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1251.5701536082472
FDW12,OUT035,2286.4132673684207
FDL51,OUT017,3643.5197259842525
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1663.1001128205125
FDN40,OUT045,2286.4132673684207
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2286.4132673684207
NCL06,OUT046,4034.3003068965495
FDI35,OUT013,3384.1080642424236
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.589317525773
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.3003068965495
DRC36,OUT045,3259.5620849056613
FDV21,OUT019,281.4820818181816
FDB53,OUT046,3053.099877777778
DRP47,OUT019,584.7577647727275
FDA14,OUT013,3053.099877777778
DRC24,OUT035,2644.4778427083347
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1682.212238235294
FDU58,OUT013,2893.83982589928
FDY27,OUT017,2552.0052351851855
FDV56,OUT035,1682.212238235294
FDT59,OUT046,3945.432567213116
FDB23,OUT046,3945.432567213116
FDR49,OUT045,796.6660672268905
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.3147244444435
FDQ16,OUT027,2517.8820884848496
FDU35,OUT018,1372.688490740741
NCT29,OUT013,1863.3331344827577
FDZ27,OUT046,796.6660672268905
FDN57,OUT017,2235.530027999999
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.1080642424236
NCU05,OUT013,1296.384578378378
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.843796
FDZ25,OUT017,3053.099877777778
FDG12,OUT046,2283.6710413793107
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539681
FDJ03,OUT027,1378.2631852760746
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,346.8972837209301
FDP27,OUT046,3391.5912527272726
FDO38,OUT010,165.91858165137623
FDE28,OUT027,6280.89088
FDO27,OUT035,1879.2570116129027
DRL23,OUT027,2517.8820884848496
FDS28,OUT046,935.0323883040944
FDX24,OUT013,1251.5701536082472
FDZ02,OUT035,1682.212238235294
FDL46,OUT045,1796.0488656488549
FDS60,OUT027,5329.3147244444435
NCO06,OUT017,583.8145788617886
FDO16,OUT035,1251.5701536082472
FDC60,OUT049,1458.4550080536912
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5329.3147244444435
FDK27,OUT045,2283.6710413793107
FDW23,OUT018,507.0464036697247
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1663.1001128205125
FDW60,OUT018,3259.5620849056613
FDE21,OUT013,2042.4213960000006
NCM42,OUT035,1682.212238235294
FDY59,OUT010,219.2185209302325
DRI49,OUT049,1296.384578378378
FDT28,OUT019,346.8972837209301
FDQ22,OUT018,507.0464036697247
FDR60,OUT049,1296.384578378378
FDC50,OUT019,219.2185209302325
FDV24,OUT013,2503.501336448599
DRF48,OUT010,482.69954262295073
FDQ47,OUT046,583.8145788617886
