Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1722.065380816442
FDW14,OUT017,1010.007899327413
NCN55,OUT010,1768.1338520497857
FDQ58,OUT017,1783.6334194556794
FDY38,OUT027,5160.610270383482
FDH56,OUT046,2204.315585812208
FDL48,OUT018,1183.3449432129562
FDC48,OUT027,2812.853416427302
FDN33,OUT045,1463.5011546246715
FDA36,OUT017,2824.9667388044013
FDT44,OUT017,1560.5469956836396
FDQ56,OUT045,1362.3934594640043
NCC54,OUT019,2447.9484191030397
FDU11,OUT049,2128.041839412883
DRL59,OUT013,864.9217711763731
FDM24,OUT049,2407.2396042510045
FDI57,OUT045,3039.895918825887
DRC12,OUT018,3298.4784207143493
NCM42,OUT027,3233.019277780557
FDA46,OUT010,1223.2544368437884
FDA31,OUT013,2670.052526223337
NCJ31,OUT035,3623.811455185035
FDG52,OUT046,881.6752362454693
NCL19,OUT019,650.7836952081084
FDS10,OUT035,2666.2107723437653
FDX22,OUT010,1788.8259090398383
NCF19,OUT035,842.8704287923106
NCE06,OUT046,2810.428863650638
DRC27,OUT046,4160.038750604914
FDE21,OUT035,1805.357615287931
NCR42,OUT019,-909.6562073595817
FDX51,OUT018,3487.165873211472
NCR06,OUT018,963.2031305806015
FDU31,OUT027,5050.014799335946
FDU59,OUT017,2290.960952145232
FDR03,OUT027,4466.95554245426
FDS49,OUT027,2599.5293159725998
FDD48,OUT010,102.59902338407937
NCF18,OUT017,2890.780205898167
NCD43,OUT027,3098.702860162012
NCD54,OUT018,2614.862423005551
FDY19,OUT010,117.3752188097701
NCY54,OUT017,2471.732080297579
NCL19,OUT018,2502.847707693456
FDP23,OUT010,1628.8946241415592
FDC26,OUT013,1679.8131627005725
FDR14,OUT010,-847.6746765987054
NCS41,OUT035,2657.4943012468307
FDF41,OUT035,3887.791322004877
FDU34,OUT046,2064.99733836805
DRH11,OUT046,1247.8157461911783
FDM03,OUT013,1001.6029752263883
FDS31,OUT017,2213.365665689319
FDJ20,OUT017,1860.766926229912
FDV44,OUT027,4408.407881095631
FDG02,OUT049,3146.5994013899217
FDA09,OUT013,2659.744070187939
FDT04,OUT013,227.04449166041172
FDL58,OUT019,2693.7161478115104
FDE52,OUT045,1230.1725987950429
FDW12,OUT035,2295.344787579896
FDL51,OUT017,3266.5988629709313
NCY42,OUT027,3744.2221398150336
FDR07,OUT017,1424.8009171415747
FDN40,OUT045,2107.2204872217935
FDB35,OUT027,3043.1237759739765
FDA22,OUT017,2267.03583775512
NCL06,OUT046,4301.380131723852
FDI35,OUT013,2707.768972815558
NCW42,OUT045,3445.755738759258
NCX06,OUT049,3058.8029615077658
FDC37,OUT027,3282.778701290574
FDZ14,OUT018,2355.7833810755233
DRG49,OUT049,4084.9670226268454
NCG06,OUT045,3946.8486298640037
DRC36,OUT045,2818.831064068694
FDV21,OUT019,357.3227297246017
FDB53,OUT046,2347.579271815962
DRP47,OUT019,2405.8729605997687
FDA14,OUT013,2084.689038328751
DRC24,OUT035,2446.67074783083
FDW21,OUT018,1753.9395757656912
NCH29,OUT046,1634.7331999544776
FDU58,OUT013,2841.9469415743974
FDY27,OUT017,2334.360649276604
FDV56,OUT035,1789.1835088751918
FDT59,OUT046,3813.5509577684247
FDB23,OUT046,3792.29011218859
FDR49,OUT045,568.6342750078841
FDB03,OUT010,2113.2251607589055
FDN39,OUT045,2591.1948900723833
FDX02,OUT027,4863.063749710691
FDQ16,OUT027,3194.574801903232
FDU35,OUT018,1551.0024482921606
NCT29,OUT013,1893.9141071066758
FDZ27,OUT046,747.0334115372016
FDN57,OUT017,2051.949586012689
FDA03,OUT018,2534.1769711367597
FDZ36,OUT045,2963.0756097247577
NCU05,OUT013,1240.5540980931703
FDT39,OUT018,2902.8300739453407
FDK60,OUT017,1084.2713040914641
