Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1583.2723999999996
FDW14,OUT017,1364.0491539906104
NCN55,OUT010,542.9755395973152
FDQ58,OUT017,2384.015126168224
FDY38,OUT027,5669.163351428566
FDH56,OUT046,1874.430959859155
FDL48,OUT018,754.5960957264962
FDC48,OUT027,2513.0798546666674
FDN33,OUT045,1517.6348566210045
FDA36,OUT017,3087.5075112820527
FDT44,OUT017,1874.430959859155
FDQ56,OUT045,1364.0491539906104
NCC54,OUT019,542.9755395973152
FDU11,OUT049,2054.2157066202103
DRL59,OUT013,754.5960957264962
FDM24,OUT049,2384.015126168224
FDI57,OUT045,2880.9695613636372
DRC12,OUT018,2880.9695613636372
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973152
FDA31,OUT013,2736.968429875517
NCJ31,OUT035,3593.1412351254476
FDG52,OUT046,754.5960957264962
NCL19,OUT019,286.4177705128206
FDS10,OUT035,2880.9695613636372
FDX22,OUT010,542.9755395973152
NCF19,OUT035,754.5960957264962
NCE06,OUT046,2384.015126168224
DRC27,OUT046,4109.900606217618
FDE21,OUT035,1874.430959859155
NCR42,OUT019,130.33349056603774
FDX51,OUT018,3087.5075112820527
NCR06,OUT018,544.79085
FDU31,OUT027,5669.163351428566
FDU59,OUT017,2384.015126168224
FDR03,OUT027,5669.163351428566
FDS49,OUT027,2513.0798546666674
FDD48,OUT010,286.4177705128206
NCF18,OUT017,2880.9695613636372
NCD43,OUT027,2513.0798546666674
NCD54,OUT018,1936.5082478260865
FDY19,OUT010,286.4177705128206
NCY54,OUT017,2997.407679041916
NCL19,OUT018,2346.6487869387747
FDP23,OUT010,542.9755395973152
FDC26,OUT013,1583.2723999999996
FDR14,OUT010,130.33349056603774
NCS41,OUT035,3389.2269793548357
FDF41,OUT035,3593.1412351254476
FDU34,OUT046,2054.2157066202103
DRH11,OUT046,876.32057979798
FDM03,OUT013,1583.2723999999996
FDS31,OUT017,3389.2269793548357
FDJ20,OUT017,2054.2157066202103
