Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined,Item_Visibility_MeanRatio,Outlet
FDA15,9.3,0,0.016047301,249.8092,OUT049,1,0,1,3735.138,14,1,0.9310779543761085,9
DRC01,5.92,2,0.019278216,48.2692,OUT018,1,2,2,443.4228,4,0,0.9334195208758377,3
FDN15,17.5,0,0.016760075,141.618,OUT049,1,0,1,2097.27,14,1,0.9600687539048446,9
FDX07,19.2,2,0.01783433788888889,182.095,OUT010,2,2,0,732.38,15,1,1.0,0
NCD19,8.93,1,0.009779828555555556,53.8614,OUT013,0,2,1,994.7052,26,2,1.0,1
FDP36,10.395,2,0.057058688875,51.4008,OUT018,1,2,2,556.6088,4,1,1.0,3
FDO10,13.65,2,0.012741089,57.6588,OUT013,0,2,1,343.5528,26,1,1.497197477651743,1
FDP10,19.0,0,0.127469857,107.7622,OUT027,1,2,3,4022.7636,28,1,0.8704928816397633,5
FDH17,16.2,2,0.016687114,96.9726,OUT045,2,1,1,1076.5986,11,1,0.9241603619293527,7
FDU28,19.2,2,0.09444959,187.8214,OUT017,2,1,1,4710.535,6,1,0.9639830398302507,2
FDY07,11.8,0,0.040626524444444444,45.5402,OUT049,1,0,1,1516.0266,14,1,1.0,9
FDA03,18.5,2,0.045463773,144.1102,OUT046,2,0,1,2187.153,16,1,1.0366952071584155,8
FDX32,15.1,2,0.1000135,145.4786,OUT049,1,0,1,1589.2646,14,1,1.026359813124039,9
FDS46,17.6,2,0.047257328,119.6782,OUT046,2,0,1,2145.2076,16,1,0.922289906298101,8
FDF32,16.35,0,0.0680243,196.4426,OUT013,0,2,1,1977.426,26,1,1.1713313653743491,1
FDP49,9.0,2,0.069088961,56.3614,OUT046,2,0,1,1547.3192,16,1,1.0280725124413592,8
NCB42,11.8,1,0.008596051,115.3492,OUT018,1,2,2,1621.8888,4,2,1.0031395479206202,3
FDP49,9.0,2,0.069196376,54.3614,OUT049,1,0,1,718.3982,14,1,1.0296708923753675,9
DRI11,8.26,0,0.034237682,113.2834,OUT027,1,2,3,2303.668,28,0,0.8704928693111866,5
FDU02,13.35,0,0.10249212,230.5352,OUT035,2,1,1,2748.4224,9,1,0.922115518306462,6
FDN22,18.85,2,0.138190277,250.8724,OUT013,0,2,1,3775.086,26,1,1.1399044941112717,1
FDW12,8.315,2,0.035399923,144.5444,OUT027,1,2,3,4064.0432,28,1,0.9543090781180374,5
